# Per-epoch training curves for the three 100-epoch bounded-rotation runs at P=32.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-rotb{30,60,90}-p32-ss-wphi01_<job>.out
# All ViT-B/32 @ 224, IN-100, supersample x4, --w-phi 0.1, variance balancing, 100 epochs, cosine to min_lr.
range_deg,job,epoch,lr,train_loss
30,264032,0,1.00e-06,1.1049
30,264032,1,1.01e-04,1.0730
30,264032,2,2.01e-04,0.9402
30,264032,3,3.00e-04,0.8846
30,264032,4,4.00e-04,0.8404
30,264032,5,5.00e-04,0.8022
30,264032,6,5.00e-04,0.7496
30,264032,7,4.99e-04,0.7068
30,264032,8,4.99e-04,0.6676
30,264032,9,4.98e-04,0.6374
30,264032,10,4.97e-04,0.6090
30,264032,11,4.95e-04,0.5814
30,264032,12,4.93e-04,0.5641
30,264032,13,4.91e-04,0.5467
30,264032,14,4.89e-04,0.5319
30,264032,15,4.87e-04,0.5151
30,264032,16,4.84e-04,0.5009
30,264032,17,4.81e-04,0.4905
30,264032,18,4.78e-04,0.4808
30,264032,19,4.74e-04,0.4678
30,264032,20,4.70e-04,0.4578
30,264032,21,4.66e-04,0.4512
30,264032,22,4.62e-04,0.4422
30,264032,23,4.58e-04,0.4350
30,264032,24,4.53e-04,0.4248
30,264032,25,4.48e-04,0.4192
30,264032,26,4.43e-04,0.4123
30,264032,27,4.38e-04,0.3955
30,264032,28,4.32e-04,0.3824
30,264032,29,4.27e-04,0.3746
30,264032,30,4.21e-04,0.3587
30,264032,31,4.15e-04,0.3499
30,264032,32,4.09e-04,0.3420
30,264032,33,4.02e-04,0.3358
30,264032,34,3.96e-04,0.3298
30,264032,35,3.89e-04,0.3241
30,264032,36,3.82e-04,0.3176
30,264032,37,3.75e-04,0.3118
30,264032,38,3.68e-04,0.3058
30,264032,39,3.61e-04,0.2995
30,264032,40,3.53e-04,0.2948
30,264032,41,3.46e-04,0.2891
30,264032,42,3.38e-04,0.2827
30,264032,43,3.31e-04,0.2805
30,264032,44,3.23e-04,0.2731
30,264032,45,3.15e-04,0.2696
30,264032,46,3.07e-04,0.2660
30,264032,47,2.99e-04,0.2609
30,264032,48,2.91e-04,0.2566
30,264032,49,2.83e-04,0.2525
30,264032,50,2.75e-04,0.2492
30,264032,51,2.67e-04,0.2431
30,264032,52,2.59e-04,0.2403
30,264032,53,2.51e-04,0.2358
30,264032,54,2.43e-04,0.2315
30,264032,55,2.35e-04,0.2284
30,264032,56,2.27e-04,0.2241
30,264032,57,2.19e-04,0.2203
30,264032,58,2.11e-04,0.2169
30,264032,59,2.03e-04,0.2141
30,264032,60,1.95e-04,0.2096
30,264032,61,1.87e-04,0.2066
30,264032,62,1.79e-04,0.2031
30,264032,63,1.72e-04,0.2002
30,264032,64,1.64e-04,0.1957
30,264032,65,1.57e-04,0.1930
30,264032,66,1.49e-04,0.1899
30,264032,67,1.42e-04,0.1862
30,264032,68,1.35e-04,0.1832
30,264032,69,1.28e-04,0.1805
30,264032,70,1.21e-04,0.1783
30,264032,71,1.14e-04,0.1748
30,264032,72,1.08e-04,0.1728
30,264032,73,1.01e-04,0.1692
30,264032,74,9.51e-05,0.1674
30,264032,75,8.91e-05,0.1646
30,264032,76,8.32e-05,0.1625
30,264032,77,7.75e-05,0.1599
30,264032,78,7.20e-05,0.1574
30,264032,79,6.67e-05,0.1554
30,264032,80,6.17e-05,0.1532
30,264032,81,5.68e-05,0.1517
30,264032,82,5.21e-05,0.1499
30,264032,83,4.77e-05,0.1482
30,264032,84,4.35e-05,0.1456
30,264032,85,3.95e-05,0.1450
30,264032,86,3.58e-05,0.1429
30,264032,87,3.23e-05,0.1417
30,264032,88,2.90e-05,0.1401
30,264032,89,2.60e-05,0.1393
30,264032,90,2.33e-05,0.1379
30,264032,91,2.08e-05,0.1369
30,264032,92,1.85e-05,0.1360
30,264032,93,1.65e-05,0.1351
30,264032,94,1.48e-05,0.1344
30,264032,95,1.33e-05,0.1341
30,264032,96,1.21e-05,0.1335
30,264032,97,1.12e-05,0.1325
30,264032,98,1.05e-05,0.1326
30,264032,99,1.01e-05,0.1319
60,264914,0,1.00e-06,1.0660
60,264914,1,1.01e-04,1.0103
60,264914,2,2.01e-04,0.9436
60,264914,3,3.00e-04,0.9066
60,264914,4,4.00e-04,0.8816
60,264914,5,5.00e-04,0.8585
60,264914,6,5.00e-04,0.8211
60,264914,7,4.99e-04,0.7890
60,264914,8,4.99e-04,0.7578
60,264914,9,4.98e-04,0.7270
60,264914,10,4.97e-04,0.6957
60,264914,11,4.95e-04,0.6671
60,264914,12,4.93e-04,0.6378
60,264914,13,4.91e-04,0.6142
60,264914,14,4.89e-04,0.5924
60,264914,15,4.87e-04,0.5744
60,264914,16,4.84e-04,0.5533
60,264914,17,4.81e-04,0.5386
60,264914,18,4.78e-04,0.5230
60,264914,19,4.74e-04,0.5088
60,264914,20,4.70e-04,0.4962
60,264914,21,4.66e-04,0.4836
60,264914,22,4.62e-04,0.4709
60,264914,23,4.58e-04,0.4616
60,264914,24,4.53e-04,0.4496
60,264914,25,4.48e-04,0.4407
60,264914,26,4.43e-04,0.4328
60,264914,27,4.38e-04,0.4227
60,264914,28,4.32e-04,0.4153
60,264914,29,4.27e-04,0.4080
60,264914,30,4.21e-04,0.4001
60,264914,31,4.15e-04,0.3914
60,264914,32,4.09e-04,0.3867
60,264914,33,4.02e-04,0.3797
60,264914,34,3.96e-04,0.3752
60,264914,35,3.89e-04,0.3676
60,264914,36,3.82e-04,0.3601
60,264914,37,3.75e-04,0.3542
60,264914,38,3.68e-04,0.3498
