# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
baseline,269805,0,1.00e-06,0.9437
baseline,269805,1,1.01e-04,0.8771
baseline,269805,2,2.01e-04,0.7902
baseline,269805,3,3.00e-04,0.7434
baseline,269805,4,4.00e-04,0.7096
baseline,269805,5,5.00e-04,0.6782
baseline,269805,6,5.00e-04,0.6283
baseline,269805,7,5.00e-04,0.5820
baseline,269805,8,5.00e-04,0.5484
baseline,269805,9,5.00e-04,0.5132
baseline,269805,10,4.99e-04,0.4860
baseline,269805,11,4.99e-04,0.4651
baseline,269805,12,4.99e-04,0.4445
baseline,269805,13,4.99e-04,0.4278
baseline,269805,14,4.98e-04,0.4111
baseline,269805,15,4.98e-04,0.3978
baseline,269805,16,4.98e-04,0.3854
baseline,269805,17,4.97e-04,0.3709
baseline,269805,18,4.97e-04,0.3622
baseline,269805,19,4.96e-04,0.3503
baseline,269805,20,4.95e-04,0.3426
baseline,269805,21,4.95e-04,0.3346
baseline,269805,22,4.94e-04,0.3269
baseline,269805,23,4.94e-04,0.3177
baseline,269805,24,4.93e-04,0.3123
baseline,269805,25,4.92e-04,0.3074
baseline,269805,26,4.91e-04,0.2994
baseline,269805,27,4.90e-04,0.2957
baseline,269805,28,4.89e-04,0.2897
baseline,269805,29,4.88e-04,0.2845
baseline,269805,30,4.88e-04,0.2803
baseline,269805,31,4.87e-04,0.2759
baseline,269805,32,4.85e-04,0.2724
baseline,269805,33,4.84e-04,0.2665
baseline,269805,34,4.83e-04,0.2635
baseline,269805,35,4.82e-04,0.2603
baseline,269805,36,4.81e-04,0.2565
baseline,269805,37,4.80e-04,0.2526
baseline,269805,38,4.78e-04,0.2499
baseline,269805,39,4.77e-04,0.2473
baseline,269805,40,4.76e-04,0.2443
baseline,269805,41,4.74e-04,0.2400
baseline,269805,42,4.73e-04,0.2395
baseline,269805,43,4.71e-04,0.2345
baseline,269805,44,4.70e-04,0.2311
baseline,269805,45,4.68e-04,0.2320
baseline,269805,46,4.67e-04,0.2259
baseline,269805,47,4.65e-04,0.2247
baseline,269805,48,4.64e-04,0.2226
baseline,269805,49,4.62e-04,0.2201
baseline,269805,50,4.60e-04,0.2165
baseline,269805,51,4.59e-04,0.2155
baseline,269805,52,4.57e-04,0.2144
